content_id,accesslevel,contentformat,contenttype,date_added,imagedetails_heroimage,imagedetails_thumbnailimage,imagedetails_todayimage,status,type,title,director,cast,country,release_year,rating,duration,listed_in,description
ax98_fgh_6183b61b83bd5b00d0d8ee92,PAID,mp4,video,2021-11-11,image/diy/f25fdf64-0c9f-4f3f-b2e0-5b66dd3fa579,image/diy/f25fdf64-0c9f-4f3f-b2e0-5b66dd3fa579,image/diy/f25fdf64-0c9f-4f3f-b2e0-5b66dd3fa579,RELEGATED,Movie,Accomplice,Jeremy Grant,,United States,2021,TV-14,52 min,"Documentaries, International Movies, Sports Movies",Traverse the globe with the world's top riders as they pedal through rugged terrain and majestic locations in this visual homage to the bicycle.
ax98_fgh_60978b1c855ff215c7b9915b,PAID,mp4,video,2021-05-10,image/diy/111ac96b-4df2-4338-beb9-284f3866c830,image/diy/111ac96b-4df2-4338-beb9-284f3866c830,image/diy/111ac96b-4df2-4338-beb9-284f3866c830,LIVE,Movie,Dead Again in Tombstone,Roel Reiné,,,2017,R,99 min,"Action & Adventure, Horror Movies","At the devil's bidding, a deceased outlaw returns to life bent on protecting an ancient relic from a group of soldiers — and raising all kinds of hell."
ax98_fgh_60ced9cdc283dd0092ecdcab,PAID,mp4,video,2021-06-22,image/diy/3a811b88-6a3e-4c2f-a01b-9c3428acd08b,image/diy/3a811b88-6a3e-4c2f-a01b-9c3428acd08b,image/diy/3a811b88-6a3e-4c2f-a01b-9c3428acd08b,LIVE,Movie,Christmas with a Prince,Justin G. Dyck,,Canada,2018,TV-PG,86 min,"Comedies, Dramas, Romantic Movies",A dedicated pediatrician reconsiders her feelings for a carefree prince as he secretly recovers from a ski accident alongside her young patients.
ax98_fgh_6033c97e197fdb009292aefb,PAID,mp4,video,2021-02-23,image/diy/6754c848-81a2-45b5-a192-cf23879769b0,image/diy/6754c848-81a2-45b5-a192-cf23879769b0,image/diy/6754c848-81a2-45b5-a192-cf23879769b0,LIVE,Movie,"Berlin, Berlin: Lolle on the Run",Franziska Meyer Price,,Germany,2021,TV-MA,82 min,"Comedies, International Movies","In this cinematic sequel to the hit TV series, Lolle has moved on from Sven and is about to marry her friend Hart – until Sven disrupts her plans."
ax98_fgh_61bc6bdcaeabd40098befb61,PAID,mp4,video,2021-12-21,image/diy/d6d91657-9035-4a16-acfe-969237d1993c,image/diy/d6d91657-9035-4a16-acfe-969237d1993c,image/diy/d6d91657-9035-4a16-acfe-969237d1993c,LIVE,Movie,Apaharan,Prakash Jha,,India,2005,TV-14,161 min,"Dramas, International Movies","Raised under the condescending eye of his activist father, an underachieving loafer is lured into the local kingpin’s web of corruption and kidnapping."
ax98_fgh_6097904028f48b00e55e04c9,PAID,mp4,video,2021-05-20,image/diy/c3dab041-cc40-4f4c-8bf8-9f982704cddb,image/diy/c3dab041-cc40-4f4c-8bf8-9f982704cddb,image/diy/c3dab041-cc40-4f4c-8bf8-9f982704cddb,LIVE,Movie,Soy Rada: Serendipity,Pablo Faro,,Argentina,2021,TV-MA,70 min,Stand-Up Comedy,"The delightful Argentine comic Agustín Aristarán (aka Soy Rada) is back, this time putting the spotlight on family and parenting, magic and music."
ax98_fgh_60a65e4651a9ec0092ce5941,FREE,mp4,video,2021-07-02,image/diy/f2979d56-21b6-4a21-9eaa-38b06339fabc,image/diy/f2979d56-21b6-4a21-9eaa-38b06339fabc,image/diy/f2979d56-21b6-4a21-9eaa-38b06339fabc,RELEGATED,Movie,American Masters: Inventing David Geffen,Susan Lacy,,United States,2012,TV-MA,115 min,Movies,"The son of Jewish immigrants, David Geffen emerged from a humble upbringing to become one of the most powerful media personalities in America."
ax98_fgh_611165742ea895009a3beabd,PAID,mp4,video,2021-08-13,image/diy/423156a3-b100-4d12-8565-c85de053e3d5,image/diy/423156a3-b100-4d12-8565-c85de053e3d5,image/diy/423156a3-b100-4d12-8565-c85de053e3d5,LIVE,Movie,Ninja Assassin,James McTeigue,,"Germany, United States, France",2009,R,99 min,Action & Adventure,A former assassin must protect himself and a Europol agent from a ruthless band of assassins who wish to exist in secrecy.
ax98_fgh_5fa9052346441c00f9e60049,PAID,mp4,video,2021-01-26,image/diy/368a105a-29ae-4bf2-81fc-77b7014514fd,image/diy/368a105a-29ae-4bf2-81fc-77b7014514fd,image/diy/368a105a-29ae-4bf2-81fc-77b7014514fd,LIVE,Movie,Father Soldier Son,"Leslye Davis, Catrin Einhorn",,United States,2021,R,100 min,Documentaries,"After a single father is severely wounded in Afghanistan, he and his sons embark on a journey of sacrifice and a search for redemption."
ax98_fgh_5f12f50062bc2400c28f49d5,PAID,mp4,video,2021-02-04,image/diy/c40b5c80-4c07-4824-b388-34a5f2b97f6f,image/diy/c40b5c80-4c07-4824-b388-34a5f2b97f6f,image/diy/c40b5c80-4c07-4824-b388-34a5f2b97f6f,LIVE,Movie,BluffMaster!,Rohan Sippy,,India,2005,TV-14,129 min,"Comedies, International Movies, Romantic Movies","When his girlfriend learns the truth about his murky past, a con artist is forced to examine his choices and get to the root of his real identity."
ax98_fgh_61648bd63dc62400d4965fd4,PAID,mp4,video,2021-10-15,image/diy/39b25771-e85a-4544-bea6-0b5f02de8f9b,image/diy/39b25771-e85a-4544-bea6-0b5f02de8f9b,image/diy/39b25771-e85a-4544-bea6-0b5f02de8f9b,LIVE,Movie,A Monster Calls,J.A. Bayona,,"United Kingdom, Spain, United States",2016,PG-13,108 min,"Dramas, Sci-Fi & Fantasy","Overwhelmed by his mother’s illness, a young boy begins to understand human complexity through the fantastic tales of a consoling tree monster."
ax98_fgh_5ffbe51f478d2100cfe0a79c,PAID,mp4,video,2021-02-06,image/diy/c5c567e8-3b75-4cb3-9f7f-433595280850,image/diy/c5c567e8-3b75-4cb3-9f7f-433595280850,image/diy/c5c567e8-3b75-4cb3-9f7f-433595280850,LIVE,Movie,Psycho,Mysskin,,India,2021,TV-MA,143 min,"Horror Movies, International Movies, Thrillers","As a visually impaired man attempts to rescue his love interest from a serial killer, the dark story behind the murderer’s disturbing psyche emerges."
ax98_fgh_5ed8db35092fdd00915d23d2,PAID,mp4,video,2021-09-07,image/diy/3dd4ccc2-ea97-48ca-a9e0-fbc6a386c8c1,image/diy/3dd4ccc2-ea97-48ca-a9e0-fbc6a386c8c1,image/diy/3dd4ccc2-ea97-48ca-a9e0-fbc6a386c8c1,LIVE,Movie,The Best of Enemies,Robin Bissell,,United States,2019,PG-13,133 min,Dramas,"In 1971, a summit on school integration in North Carolina pits a civil rights activist against a Ku Klux Klan leader, sparking an unlikely friendship."
ax98_fgh_5ea84e0b25690a009e2b27e0,PAID,mp4,video,2021-05-07,image/diy/0f0e1fcc-15a4-4bcd-b28f-92b4cd6dccb0,image/diy/0f0e1fcc-15a4-4bcd-b28f-92b4cd6dccb0,image/diy/0f0e1fcc-15a4-4bcd-b28f-92b4cd6dccb0,LIVE,Movie,He's All That,Mark Waters,,,2021,TV-14,92 min,"Comedies, Romantic Movies","An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic ""She's All That."""
ax98_fgh_60a141a8f62af400a6060d55,PAID,mp4,video,2021-05-19,image/diy/6f4b825f-d536-4248-820f-5795fea13110,image/diy/6f4b825f-d536-4248-820f-5795fea13110,image/diy/6f4b825f-d536-4248-820f-5795fea13110,LIVE,Movie,Kingsglaive: Final Fantasy XV,Takeshi Nozue,,"Japan, United States",2016,PG-13,116 min,"Action & Adventure, Sci-Fi & Fantasy",King Regis of Lucis orders his Kingsglaive warriors to stop the army of Niflheim before it invades and steals the crystal that gives Lucis its power.
ax98_fgh_6079c54bce360200f308a72a,PAID,mp4,video,2021-05-05,image/diy/b52332c3-3071-4058-aa74-965615193cd5,image/diy/b52332c3-3071-4058-aa74-965615193cd5,image/diy/b52332c3-3071-4058-aa74-965615193cd5,LIVE,Movie,Pahuna,Paakhi Tyrewala,,"India, Nepal",2018,TV-PG,82 min,"Comedies, Dramas, International Movies","Fleeing unrest in their native Nepal, three young siblings separated from their parents must beat the odds to survive on their own in India."
ax98_fgh_60a0fbafb78875009855b037,PAID,mp4,video,2021-05-21,image/diy/de88a2b1-af6e-4923-a687-0f2a1c36ca50,image/diy/de88a2b1-af6e-4923-a687-0f2a1c36ca50,image/diy/de88a2b1-af6e-4923-a687-0f2a1c36ca50,LIVE,Movie,The Unknown Saint,Alaa Eddine Aljem,,,2019,TV-14,100 min,"Comedies, Dramas, Independent Movies","Following a stint behind bars, a thief returns to where he buried his loot, only to find that his hiding spot is now a shrine to an unknown saint."
ax98_fgh_5f89a7c68837f700bab60ebe,PAID,mp4,video,2021-01-26,image/diy/003e804e-18cc-4480-974e-fe312dc84d33,image/diy/003e804e-18cc-4480-974e-fe312dc84d33,image/diy/003e804e-18cc-4480-974e-fe312dc84d33,LIVE,Movie,Never Back Down,Jeff Wadlow,,United States,2008,PG-13,113 min,"Action & Adventure, Dramas, Sports Movies","When a quick-tempered teen moves to a new town and faces the challenges of attending a new high school, he seeks solace in an underground fight club."
ax98_fgh_6176872118498b00d39a1c65,PAID,mp4,video,2021-10-31,image/diy/33389721-0c3a-4500-98f4-7c4273a82c43,image/diy/33389721-0c3a-4500-98f4-7c4273a82c43,image/diy/33389721-0c3a-4500-98f4-7c4273a82c43,LIVE,Movie,The Master,Paul Thomas Anderson,,United States,2012,R,137 min,"Dramas, Independent Movies","A heavy-drinking loner finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion."""
ax98_fgh_61b7242fae201b00ae2a5913,PAID,mp4,video,2021-12-16,image/diy/93657f2a-d868-4eb6-b769-c873fe2c5341,image/diy/93657f2a-d868-4eb6-b769-c873fe2c5341,image/diy/93657f2a-d868-4eb6-b769-c873fe2c5341,DRAFT,Movie,Mundina Nildana,Vinay Bharadwaj,,India,2019,TV-MA,104 min,"Dramas, International Movies, Romantic Movies","As three young professionals chase their wildly different dreams, their relationships with each other indelibly impact their journeys of self-discovery."
ax98_fgh_60df0df2aa76d80092b9c93d,PAID,mp4,video,2021-08-08,image/diy/cfd36245-e587-4b58-a6ee-74c5c81f2fbb,image/diy/cfd36245-e587-4b58-a6ee-74c5c81f2fbb,image/diy/cfd36245-e587-4b58-a6ee-74c5c81f2fbb,LIVE,Movie,678,Mohamed Diab,,,2009,TV-14,99 min,"Dramas, Independent Movies, International Movies","This film sheds light on sexual harassment in Egypt, following the lives of three women from different social classes who have been subjected to it."
ax98_fgh_6038816f9335b5009f62451d,PAID,mp4,video,2021-02-28,image/diy/2ef3ddd7-8645-4569-897c-b96a1884f3e6,image/diy/2ef3ddd7-8645-4569-897c-b96a1884f3e6,image/diy/2ef3ddd7-8645-4569-897c-b96a1884f3e6,RELEGATED,Movie,Count Me In,Mark Lo,,United Kingdom,2021,TV-MA,82 min,"Documentaries, Music & Musicals",This documentary features some of rock's greatest drummers as they come together in an inspiring rhythmic journey about the power of human connection.
ax98_fgh_60cddc48c143d600a6ddf054,PAID,mp4,video,2021-08-27,image/diy/d3783553-6808-4968-ae60-6882667380e1,image/diy/d3783553-6808-4968-ae60-6882667380e1,image/diy/d3783553-6808-4968-ae60-6882667380e1,LIVE,Movie,Illegal Woman,Ramon Térmens,,Spain,2021,TV-MA,119 min,"Dramas, International Movies",An immigration lawyer and a Nigerian woman caught in a ring of corruption team up to uncover the truth behind a suspicious death in a detention center.
ax98_fgh_6079d4bf10e5fc00e5130a31,PAID,mp4,video,2021-04-19,image/diy/1a851ecd-11fc-4738-b03f-21591cdbfcf8,image/diy/1a851ecd-11fc-4738-b03f-21591cdbfcf8,image/diy/1a851ecd-11fc-4738-b03f-21591cdbfcf8,RELEGATED,Movie,School of Rock,Richard Linklater,,"United States, Germany",2003,PG-13,110 min,"Comedies, Music & Musicals","Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll."
ax98_fgh_618819fdb1a54d00a6fb5373,PAID,mp4,video,2021-11-11,image/diy/64e74581-3137-4c99-957c-8b390ab2c65e,image/diy/64e74581-3137-4c99-957c-8b390ab2c65e,image/diy/64e74581-3137-4c99-957c-8b390ab2c65e,LIVE,Movie,Spookley and the Christmas Kittens,Bernie Denk,,United States,2019,TV-Y,45 min,Children & Family Movies,"When a green cat and three stray kittens wind up at Holiday Hill Farm, Spookley the Square Pumpkin and his friends help the felines find their way home."
ax98_fgh_5f10dfed8baf1a00a63614fc,PAID,mp4,video,2021-02-24,image/diy/3f2d21a7-7012-4971-81b4-66db951c53a9,image/diy/3f2d21a7-7012-4971-81b4-66db951c53a9,image/diy/3f2d21a7-7012-4971-81b4-66db951c53a9,LIVE,Movie,Loving,Jeff Nichols,,"United Kingdom, United States",2016,PG-13,124 min,"Dramas, Romantic Movies",A young couple's interracial marriage in 1958 sparks a case that leads to the Supreme Court. Based on the true story of Richard and Mildred Loving.
ax98_fgh_61ab38ef01ae3100c96b9c5a,PAID,mp4,video,2021-12-09,image/diy/4c34d5be-a7e6-4872-b92e-af6a07b54fa0,image/diy/4c34d5be-a7e6-4872-b92e-af6a07b54fa0,image/diy/4c34d5be-a7e6-4872-b92e-af6a07b54fa0,RELEGATED,Movie,The Girl on the Train,Ribhu Dasgupta,,India,2021,TV-MA,120 min,"International Movies, Thrillers",A troubled divorcée fixates on a seemingly ideal couple from afar until a shocking observation sends her spiraling straight into a knotty murder case.
ax98_fgh_5fc86481397a0e00ba683209,PAID,mp4,video,2021-02-09,image/diy/0f5d5ef1-96ae-4ce3-9c03-9d9e2616a357,image/diy/0f5d5ef1-96ae-4ce3-9c03-9d9e2616a357,image/diy/0f5d5ef1-96ae-4ce3-9c03-9d9e2616a357,LIVE,Movie,No Strings Attached,Ivan Reitman,,"United States, United Kingdom",2011,R,109 min,"Comedies, Romantic Movies","""Friends with benefits"" Emma and Adam are fine with their open relationship ... until those pesky little things called feelings enter the picture."
ax98_fgh_6039325248904a0e26952c27,PAID,mp4,video,2021-03-02,image/diy/0f377904-ba93-4de8-b61d-b3bf57b03a70,image/diy/0f377904-ba93-4de8-b61d-b3bf57b03a70,image/diy/0f377904-ba93-4de8-b61d-b3bf57b03a70,DRAFT,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",,,2021,TV-MA,67 min,"Documentaries, International Movies","Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents."
ax98_fgh_60cf453a9b7a570098378b92,PAID,mp4,video,2021-06-23,image/diy/c8c4f6f9-7935-45c0-aa04-5203f8ab7fd1,image/diy/c8c4f6f9-7935-45c0-aa04-5203f8ab7fd1,image/diy/c8c4f6f9-7935-45c0-aa04-5203f8ab7fd1,LIVE,Movie,Poseidon,Wolfgang Petersen,,United States,2006,PG-13,98 min,"Action & Adventure, Dramas","A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival."
ax98_fgh_611f991801ea9800d744240d,PAID,mp4,video,2021-08-24,image/diy/a831ed64-7ebc-4130-9f1a-b1e01f4ff1fe,image/diy/a831ed64-7ebc-4130-9f1a-b1e01f4ff1fe,image/diy/a831ed64-7ebc-4130-9f1a-b1e01f4ff1fe,LIVE,Movie,Spelling the Dream,Sam Rega,,United States,2021,TV-G,83 min,"Children & Family Movies, Documentaries","Following four hopeful competitors, this documentary explores Indian Americans' decades-long success at the biggest spelling contest in the U.S."
ax98_fgh_6136664c7bc67100c2799ee7,PAID,mp4,video,2021-09-10,image/diy/def6b139-4f6f-4108-ae1b-8d090b82ba1b,image/diy/def6b139-4f6f-4108-ae1b-8d090b82ba1b,image/diy/def6b139-4f6f-4108-ae1b-8d090b82ba1b,LIVE,Movie,Coven of Sisters,Pablo Agüero,,"Spain, Argentina",2021,TV-MA,92 min,"Dramas, Independent Movies, International Movies","Basque Country, 1609. To postpone their execution, a group of women accused of witchcraft lure their inquisitor into witnessing the witches' Sabbath."
ax98_fgh_6044e77607a6dd00bbd81c63,PAID,mp4,video,2021-05-07,image/diy/6055605b-c7a1-43bf-985c-b9e880556cee,image/diy/6055605b-c7a1-43bf-985c-b9e880556cee,image/diy/6055605b-c7a1-43bf-985c-b9e880556cee,LIVE,Movie,First Love,Paul Soriano,,Philippines,2018,TV-MA,123 min,"Dramas, International Movies, Romantic Movies",A chance encounter soon intertwines the lives of a reserved businessman and a vibrant photographer who is living with a grave heart condition.
ax98_fgh_610e9e584f75ea00993e05e2,PAID,mp4,video,2021-08-10,image/diy/446bb4ee-6184-4704-a79c-1e759e9f0463,image/diy/446bb4ee-6184-4704-a79c-1e759e9f0463,image/diy/446bb4ee-6184-4704-a79c-1e759e9f0463,LIVE,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,,"Australia, United States",2001,PG,95 min,"Action & Adventure, Comedies","When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel."
ax98_fgh_6023f43e011f841878161d8d,PAID,mp4,video,2021-05-07,image/diy/edc7fc5d-ec9f-4fb6-ab17-9e56ea96927d,image/diy/edc7fc5d-ec9f-4fb6-ab17-9e56ea96927d,image/diy/edc7fc5d-ec9f-4fb6-ab17-9e56ea96927d,RELEGATED,Movie,Rise: Ini Kalilah,"Saw Teong Hin, Nik Amir Mustapha, M.S. Prem Nath",,Malaysia,2018,TV-PG,101 min,"Dramas, International Movies","Inspired by Malaysia's 14th General Election, this film trails six individuals and the obstacles they face in the days leading up to the historic event."
ax98_fgh_5ec01a695958d501ce283b7d,PAID,mp4,video,2021-06-02,image/diy/30ec0627-69da-4bd8-84c0-3eca55ff6cf8,image/diy/30ec0627-69da-4bd8-84c0-3eca55ff6cf8,image/diy/30ec0627-69da-4bd8-84c0-3eca55ff6cf8,LIVE,Movie,Into the Beat,Stefan Westerwelle,,Germany,2021,TV-14,102 min,"Dramas, International Movies, Romantic Movies",A teen ballerina discovers hip-hop by chance and is faced with an impossible choice: Does she follow her parents’ footsteps... or her newfound passion?
ax98_fgh_6188d5ca3f724c00d0cfabb8,PAID,mp4,video,2021-11-18,image/diy/23f96e63-0aaa-4ba8-9c2b-f71e76897ba4,image/diy/23f96e63-0aaa-4ba8-9c2b-f71e76897ba4,image/diy/23f96e63-0aaa-4ba8-9c2b-f71e76897ba4,LIVE,Movie,A Go! Go! Cory Carson Christmas,"Stanley Moore, Alex Woo",,United States,2021,TV-Y,22 min,Children & Family Movies,"When a familiar-looking stranger crashes in without a memory, Cory helps him remember the magic of Christmas to save the holiday for everyone."
ax98_fgh_5eb6cad30a239400d6ffe5c4,PAID,mp4,video,2021-06-02,image/diy/31d93fe6-d5be-4432-9324-65cacbad01fc,image/diy/31d93fe6-d5be-4432-9324-65cacbad01fc,image/diy/31d93fe6-d5be-4432-9324-65cacbad01fc,LIVE,Movie,A Family,Michihito Fujii,,,2021,TV-MA,135 min,"Dramas, International Movies","Taken in by the yakuza at a young age, Kenji swears allegiance to his old-school boss, pledging to adhere to the family code amid ever-changing times."
ax98_fgh_6108ca49dcbf5b00935bb6a8,PAID,mp4,video,2021-08-30,image/diy/d6830210-2fb5-4cc3-abf7-011e2b90805f,image/diy/d6830210-2fb5-4cc3-abf7-011e2b90805f,image/diy/d6830210-2fb5-4cc3-abf7-011e2b90805f,LIVE,Movie,Night on Earth: Shot in the Dark,,,United Kingdom,2021,TV-PG,59 min,Movies,"This look behind the scenes shows how worldwide camera crews climbed, dived and froze to capture the documentary's groundbreaking night footage."
ax98_fgh_61669d94d629160092424f38,PAID,mp4,video,2021-10-23,image/diy/17e08328-3e6c-420b-aaa3-ec45205054ee,image/diy/17e08328-3e6c-420b-aaa3-ec45205054ee,image/diy/17e08328-3e6c-420b-aaa3-ec45205054ee,RELEGATED,Movie,The Lovely Bones,Peter Jackson,,"United States, United Kingdom, New Zealand",2009,PG-13,136 min,"Dramas, International Movies, Sci-Fi & Fantasy","In the aftermath of her murder, 14-year-old Susie watches from beyond as her loved ones mourn and search for her killer who is hiding in plain sight."
ax98_fgh_60edc4c48fa2b20093c1a7fe,PAID,mp4,video,2021-08-18,image/diy/05252348-de11-4a05-a205-013e2a59ed50,image/diy/05252348-de11-4a05-a205-013e2a59ed50,image/diy/05252348-de11-4a05-a205-013e2a59ed50,LIVE,Movie,Xico's Journey,Eric D. Cabello Díaz,,Mexico,2021,TV-Y7,87 min,Children & Family Movies,"A girl, a dog and her best pal set out to save a mountain from a gold-hungry corporation. But the key lies closer to home, with her sidekick pup, Xico."
ax98_fgh_60da099fba760200924b940a,PAID,mp4,video,2021-09-06,image/diy/1190ee79-7c7f-44da-8845-36a9fce5ad0d,image/diy/1190ee79-7c7f-44da-8845-36a9fce5ad0d,image/diy/1190ee79-7c7f-44da-8845-36a9fce5ad0d,LIVE,Movie,The Heartbreak Club,"Charles Gozali, Bagus Bramanti",,Indonesia,2021,TV-14,101 min,"Comedies, Dramas, International Movies","Coping with heartbreak, the shy owner of a floundering cafe finds solace in the Javanese love songs of Didi Kempot."
ax98_fgh_6165c05f3f73b80092dc16e8,PAID,mp4,video,2021-10-14,image/diy/8ee041aa-4bd7-4b81-901c-f679f21ad969,image/diy/8ee041aa-4bd7-4b81-901c-f679f21ad969,image/diy/8ee041aa-4bd7-4b81-901c-f679f21ad969,RELEGATED,Movie,Shattered Memories,Chris Sivertson,,United States,2018,TV-14,86 min,"Dramas, Thrillers","When her former lover's mysteriously murdered, a woman must clear her name – and avoid the killer."
ax98_fgh_60e898cc9bff8400a0eeb37e,PAID,mp4,video,2021-09-06,image/diy/4a442109-e010-463f-81a1-8347ba413db2,image/diy/4a442109-e010-463f-81a1-8347ba413db2,image/diy/4a442109-e010-463f-81a1-8347ba413db2,LIVE,Movie,Altered Carbon: Resleeved,"Takeru Nakajima, Yoshiyuki Okada",,"Japan, United States",2021,TV-MA,75 min,"Action & Adventure, Anime Features, International Movies","On the planet Latimer, Takeshi Kovacs must protect a tattooist while investigating the death of a yakuza boss alongside a no-nonsense CTAC."
ax98_fgh_5ff7309d9e570c009e6938b6,PAID,mp4,video,2021-01-10,image/diy/87699a7a-e1fc-4480-99e8-6c83d88c5176,image/diy/87699a7a-e1fc-4480-99e8-6c83d88c5176,image/diy/87699a7a-e1fc-4480-99e8-6c83d88c5176,LIVE,Movie,Kambili: The Whole 30 Yards,Kayode Kasum,,Nigeria,2021,TV-14,119 min,"Comedies, International Movies, Romantic Movies","Determined to marry before she turns 30, a woman tries to change her impulsive ways and do whatever it takes to win back the boyfriend who left her."
ax98_fgh_5fcfa9cb709f6000d66cf878,PAID,mp4,video,2021-02-22,image/diy/7137f76b-33ea-449d-a66d-afd00e806056,image/diy/7137f76b-33ea-449d-a66d-afd00e806056,image/diy/7137f76b-33ea-449d-a66d-afd00e806056,RELEGATED,Movie,Open Season: Scared Silly,David Feiss,,"United States, Canada",2015,PG,85 min,"Children & Family Movies, Comedies","When a spooky werewolf tale scares Boog out of joining the annual camping trip, his friends hatch a plan to cure him of his fear."
ax98_fgh_60c89af4fa270a0092325d24,PAID,mp4,video,2021-06-18,image/diy/8e1f23fd-0b82-4669-b104-34d98b34e0a9,image/diy/8e1f23fd-0b82-4669-b104-34d98b34e0a9,image/diy/8e1f23fd-0b82-4669-b104-34d98b34e0a9,LIVE,Movie,Raman Raghav 2.0,Anurag Kashyap,,India,2016,TV-MA,133 min,"International Movies, Thrillers",A corrupt cop and a serial killer obsessed with a psychopath from the '60s get caught up in a ruthless cat-and-mouse game in this Indian thriller.
ax98_fgh_60f94b76c6035b00ad26e2a5,PAID,mp4,video,2021-09-06,image/diy/e13e4b66-e638-4e3d-bfbc-39bfda6ad357,image/diy/e13e4b66-e638-4e3d-bfbc-39bfda6ad357,image/diy/e13e4b66-e638-4e3d-bfbc-39bfda6ad357,LIVE,Movie,Crazy Awesome Teachers,Sammaria Sari Simanjuntak,,Indonesia,2021,TV-PG,102 min,"Comedies, Dramas, International Movies","When staff salaries get stolen at his school, a reluctant new teacher sets out to recoup the money and soon discovers the joys of teaching."
ax98_fgh_60080c472161db00cfc1f8f8,PAID,mp4,video,2021-01-22,image/diy/eea4bd78-c98c-42c7-8a02-bf711b253508,image/diy/eea4bd78-c98c-42c7-8a02-bf711b253508,image/diy/eea4bd78-c98c-42c7-8a02-bf711b253508,LIVE,Movie,We Are One,Stéphane de Freitas,,France,2021,TV-MA,86 min,"Documentaries, International Movies, Music & Musicals","Activists around the world fight injustice and drive social change in this documentary that follows their participation in the music video ""Solidarité."""
ax98_fgh_60771077a2453b00922cc36f,PAID,mp4,video,2021-04-17,image/diy/0525e607-1274-4be2-973d-dcafec889a26,image/diy/0525e607-1274-4be2-973d-dcafec889a26,image/diy/0525e607-1274-4be2-973d-dcafec889a26,LIVE,Movie,Rudra: The Rise of King Pharaoh,,,,2019,TV-Y7,91 min,Children & Family Movies,"When a malicious, resurrected mummy begins to steal the energy of young people in Mumbai, kid magician Rudra must use his special powers to stop him."
ax98_fgh_6003365c027f7100917d7e7b,PAID,mp4,video,2021-01-21,image/diy/c0cf260b-3b09-4482-824a-2bb6b03f6f06,image/diy/c0cf260b-3b09-4482-824a-2bb6b03f6f06,image/diy/c0cf260b-3b09-4482-824a-2bb6b03f6f06,RELEGATED,Movie,Blanche Gardin: The All-Nighter,"Xavier Maingon, Marc-Antoine Hélard",,,2021,TV-MA,96 min,Stand-Up Comedy,"With self-deprecating humor, French comic Blanche Gardin offers stream-of-consciousness observations on environmentalism, gender relations and herself."
ax98_fgh_6159b9606a6bf000d70f9053,PAID,mp4,video,2021-10-08,image/diy/2d74bc0b-2558-42ec-a766-17088c5fbff3,image/diy/2d74bc0b-2558-42ec-a766-17088c5fbff3,image/diy/2d74bc0b-2558-42ec-a766-17088c5fbff3,RELEGATED,Movie,Wheels of Fortune,Shaun Paul Piccinino,,United States,2021,R,107 min,"Comedies, Sports Movies","To claim a big inheritance, a down-on-his-luck mechanic must win a series of competitions as outlined in his birth father's will."
ax98_fgh_614599735bdd1700a6b97a51,PAID,mp4,video,2021-09-20,image/diy/2d74bc0b-2558-42ec-a766-17088c5fbff3,image/diy/2d74bc0b-2558-42ec-a766-17088c5fbff3,image/diy/2d74bc0b-2558-42ec-a766-17088c5fbff3,RELEGATED,Movie,Asura Guru,A. Raajdheep,,India,2021,TV-14,117 min,"Dramas, International Movies","For a tech-savvy thief, elaborate robberies and evading the police are second nature until a private detective is hired to investigate his latest heist."
ax98_fgh_60055ce1331c6900d081e5c9,PAID,mp4,video,2021-01-22,image/diy/0b7890ca-eaf1-43d2-8e0f-df4674d464ce,image/diy/0b7890ca-eaf1-43d2-8e0f-df4674d464ce,image/diy/0b7890ca-eaf1-43d2-8e0f-df4674d464ce,LIVE,Movie,Sol Levante,Akira Saitoh,,Japan,2021,TV-14,5 min,"Action & Adventure, Anime Features, International Movies",A young warrior and her familiar search for the sacred place said to fulfill wishes. It's best not to anger the ancient guardians and spirits.
ax98_fgh_6156d45bad1b5a00def6cc9b,PAID,mp4,video,2021-10-04,image/diy/7d4344b9-8a89-43fa-b171-adf3f1a40a10,image/diy/7d4344b9-8a89-43fa-b171-adf3f1a40a10,image/diy/7d4344b9-8a89-43fa-b171-adf3f1a40a10,LIVE,Movie,Wannabe Courageous,Mahmoud Karim,,,2019,TV-14,90 min,"Comedies, International Movies","When his newlywed wife becomes disenchanted because he failed to protect her from danger, Omar seeks the help of a quirky psychiatrist to win her back."
